Date;Candidate;Headline;Snippet
01/10/2016;Trump;John Sununu reverses position, endorses Trump;Former New Hampshire governor explains his decision to support the GOP candidate
01/10/2016;Trump;Campaign adviser: Trump wins the debate over the economy;Fox News contributor and economic adviser to Trump explains on 'America's Election HQ' what issues he hopes the candidate will address at future debates
01/10/2016;Trump;Women who know Trump defend the GOP candidate's character;Former VP of Trump International and former pageant contestants speak out on 'Hannity'
01/10/2016;Trump;Trump's economic agenda: Cutting taxes for job creation;Trump senior economic adviser Steve Moore explains the strategy
01/10/2016;Trump;Presidential campaign spiraling downward with talk of sex tapes;"Donald Trump is encouraging voters to check out a ""sex tape"" featuring the former beauty queen with whom he's feuding. Hillary Clinton's campaign is suggesting that a better rental is the adult film in which Trump himself appears."
01/10/2016;Trump;Krauthammer: Trump needs to stop falling for traps;Syndicated columnist offers advice to both of the candidates on 'The Kelly File'
01/10/2016;Trump;Ben Carson reacts to Trump's attacks on former Miss Universe;Trump supporter hopes the GOP candidate will focus on the issues
01/10/2016;Trump;Trump looks to get past tweet frenzy with stop in swing state Pennsylvania;Donald Trump is on the campaign trail Saturday with a stop in eastern Pennsylvania, a swing state critical in his path toward trying to win the White House and another opportunity for the Republican presidential nominee to steady his campaign after solid debate performance undone by final-minute accusations about demeaning women.
01/10/2016;Trump;Kurtz on Trump's Miss Universe dust up: 'He can't seem to let go of it';Howard Kurtz told viewers Friday on “Special Report with Bret Baier” that when it comes to Donald Trump’s continued clashes with former Miss Universe Alicia Machado, “he can’t seem to let go of it.”
01/10/2016;Trump;Mic Dropped: Debate commission admits 'issues' with Trump’s audio;The Commission on Presidential Debates admitted Friday there were indeed issues with Donald Trump’s audio at Monday’s debate – four days after the Republican nominee complained about sound issues inside the venue and was mocked for it by Hillary Clinton.
02/10/2016;Trump;"Conway defends Trump attacks; Bill Clinton's past misconduct";"The Trump campaign manager joins ""MediaBuzz."""
02/10/2016;Trump;What would voters tell Trump ahead of the next debate?;Street Justice': Judge Jeanine gets advice for the candidates
02/10/2016;Trump;Watters: Trump must get back on offense at next debate;Hillary can only do worse and Donald can only do better
02/10/2016;Trump;Trump responds to leaked IRS return, says he is best suited to fix country's 'complex tax laws';"Republican presidential nominee Donald Trump responded Sunday to a news report that he declared a loss of nearly $916 million on his 1995 income tax returns, saying he knows the country's ""complex tax laws better than anyone who has ever run for president."""
02/10/2016;Trump;Christie defends Trump's leaked tax return, says nothing illegal, 'no apologies';New Jersey Gov. Chris Christie, a top Donald Trump adviser, on Sunday dismissed a news report that showed the Republican presidential nominee reported a $916 million loss on his 1995 federal tax return, saying that the report showed nothing “outside the law,” despite the “big, splashy headline.”
02/10/2016;Trump;Trump hits Clinton marriage;Hillary spokesman rips billionaire
02/10/2016;Trump;Trump supporters defend GOP nominee after tax return leaked;Political panel discusses the impact this issue will have on the race
02/10/2016;Trump;Judith Miller: Leaked tax return clearly going to hurt Trump;Fox News contributor reacts to New York Times report on Donald Trump
02/10/2016;Trump;Former Trump International VP defends Donald;Senada Adzem explains what it was like to work with the Republican nominee
02/10/2016;Trump;Comparing the economic agendas of Trump, Clinton;"Former Obama economic adviser Austan Goolsbee details plan to raise taxes on the wealthy and close corporate loopholes; Trump senior economic adviser Steve Moore explains GOP nominee's strategy"
03/10/2016;Trump;Donald Trump: I have brilliantly used the tax laws;The Republican nominee addresses his tax returns
03/10/2016;Trump;Trump working hard to escape controversy over tax returns;"The campaign is trying to turn the tables on Clinton, hitting her on how she and Bill made money after the White House; John Roberts reports for 'Special Report'"
03/10/2016;Trump;Trump surrogates praise Trump's knowledge of tax code;Alicia Acuna reports from Denver
03/10/2016;Trump;Trump surrogates argue tax leak shows he is a 'genius';Kristin Fisher reports from Washington, D.C.
03/10/2016;Trump;The Trump/Kardashian hype;Vanity Fair botches story
04/10/2016;Trump;Austrian presidential hopeful meets US Trump backer;A U.S. Republican congressman who supports Donald Trump has endorsed the right-wing candidate leading in popularity polls in the race to become Austria's next president, saying the Austrian's anti-immigration views have been heard internationally.
04/10/2016;Trump;Trump campaign confident in Pence's debate preparation;VP candidate ready to hammer Kaine on the issues
04/10/2016;Trump;Thank you, Bill Clinton for endorsing Donald Trump;
04/10/2016;Trump;Trump team says Kaine dodged debate questions, Clinton camp says Pence didn't want to defend Trump;"Trump campaign manager Kellyanne Conway and Clinton campaign national press secretary Brian Fallon react to the vice presidential debate between Mike Pence and Tim Kaine on ""The Kelly File."""
04/10/2016;Trump;Trump campaigns in Arizona amid tax controversy;Alicia Acuna reports from Prescott Valley, Arizona
05/10/2016;Trump;Pence shows Trump how it's done;Pence show Trump how not to rise to the bait
05/10/2016;Trump;Donald Trump campaigning in Nevada;Dan Springer reports from Henderson, Nevada
05/10/2016;Trump;Kaine: Trump avoids taxes, doesnt support troops;Sen. Tim Kaine says Donald Trump won't rebuild military because he did not pay taxes during 9/11
05/10/2016;Trump;Sen. Tim Kaine says Donald Trump won't rebuild military because he did not pay taxes during 9/11;
05/10/2016;Trump;Sen. Sessions: Trump is committed to ending the lawlessness;On 'Fox & Friends,' lawmaker and Trump adviser reacts to the immigration discussion during the vice presidential debate
