Date,Candidate,Headline,Snippet,Headline_Cleaned,Snippet_Cleaned,Headline_Keywords,Headline_Stopwords,Headline_Tokens,Sentiment_Values,Sentiment,Snippet_Sentiment_Values,Snippet_Sentiment,Headline_polarity,Snippet_polarity
01/10/2016,Trump,"John Sununu reverses position, endorses Trump",Former New Hampshire governor explains his decision to support the GOP candidate,"John Sununu reverses position, endorses Trump",Former New Hampshire governor explains his decision to support the GOP candidate,"John, Sununu, reverses, position, ,, endorses, Trump",,"John, Sununu, reverses, position, ,, endorses, Trump","[{'neg': 0.0, 'neu': 0.676, 'pos': 0.324, 'compound': 0.34}]",neu,"[{'neg': 0.0, 'neu': 0.803, 'pos': 0.197, 'compound': 0.4019}]",neu,0.34,0.4019
01/10/2016,Trump,Campaign adviser: Trump wins the debate over the economy,Fox News contributor and economic adviser to Trump explains on 'America's Election HQ' what issues he hopes the candidate will address at future debates,Campaign adviser: Trump wins the debate over the economy,Fox News contributor and economic adviser to Trump explains on 'America's Election HQ' what issues he hopes the candidate will address at future debates,"Campaign, adviser, :, Trump, wins, debate, economy","the, over, the","Campaign, adviser, :, Trump, wins, the, debate, over, the, economy","[{'neg': 0.0, 'neu': 0.684, 'pos': 0.316, 'compound': 0.5719}]",neu,"[{'neg': 0.0, 'neu': 0.891, 'pos': 0.109, 'compound': 0.4215}]",neu,0.5719,0.4215
01/10/2016,Trump,Women who know Trump defend the GOP candidate's character,Former VP of Trump International and former pageant contestants speak out on 'Hannity',Women who know Trump defend the GOP candidate's character,Former VP of Trump International and former pageant contestants speak out on 'Hannity',"Women, know, Trump, defend, GOP, candidate, character","who, the, 's","Women, who, know, Trump, defend, the, GOP, candidate, 's, character","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,0.0,0.0
01/10/2016,Trump,Trump's economic agenda: Cutting taxes for job creation,Trump senior economic adviser Steve Moore explains the strategy,Trump's economic agenda: Cutting taxes for job creation,Trump senior economic adviser Steve Moore explains the strategy,"Trump, economic, agenda, :, Cutting, taxes, job, creation","'s, for","Trump, 's, economic, agenda, :, Cutting, taxes, for, job, creation","[{'neg': 0.156, 'neu': 0.625, 'pos': 0.219, 'compound': 0.1531}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,0.1531,0.0
01/10/2016,Trump,Presidential campaign spiraling downward with talk of sex tapes,"Donald Trump is encouraging voters to check out a ""sex tape"" featuring the former beauty queen with whom he's feuding. Hillary Clinton's campaign is suggesting that a better rental is the adult film in which Trump himself appears.",Presidential campaign spiraling downward with talk of sex tapes,"Donald Trump is encouraging voters to check out a ""sex tape"" featuring the former beauty queen with whom he's feuding Hillary Clinton's campaign is suggesting that a better rental is the adult film in which Trump himself appears","Presidential, campaign, spiraling, downward, talk, sex, tapes","with, of","Presidential, campaign, spiraling, downward, with, talk, of, sex, tapes","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.058, 'neu': 0.716, 'pos': 0.226, 'compound': 0.8176}]",compound,0.0,0.8176
01/10/2016,Trump,Krauthammer: Trump needs to stop falling for traps,Syndicated columnist offers advice to both of the candidates on 'The Kelly File',Krauthammer: Trump needs to stop falling for traps,Syndicated columnist offers advice to both of the candidates on 'The Kelly File',"Krauthammer, :, Trump, needs, stop, falling, traps","to, for","Krauthammer, :, Trump, needs, to, stop, falling, for, traps","[{'neg': 0.388, 'neu': 0.612, 'pos': 0.0, 'compound': -0.4215}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,-0.4215,0.0
01/10/2016,Trump,Ben Carson reacts to Trump's attacks on former Miss Universe,Trump supporter hopes the GOP candidate will focus on the issues,Ben Carson reacts to Trump's attacks on former Miss Universe,Trump supporter hopes the GOP candidate will focus on the issues,"Ben, Carson, reacts, Trump, attacks, Miss, Universe","to, 's, on, former","Ben, Carson, reacts, to, Trump, 's, attacks, on, former, Miss, Universe","[{'neg': 0.36, 'neu': 0.64, 'pos': 0.0, 'compound': -0.5423}]",neu,"[{'neg': 0.0, 'neu': 0.647, 'pos': 0.353, 'compound': 0.5994}]",neu,-0.5423,0.5994
01/10/2016,Trump,Trump looks to get past tweet frenzy with stop in swing state Pennsylvania,"Donald Trump is on the campaign trail Saturday with a stop in eastern Pennsylvania, a swing state critical in his path toward trying to win the White House and another opportunity for the Republican presidential nominee to steady his campaign after solid debate performance undone by final-minute accusations about demeaning women.",Trump looks to get past tweet frenzy with stop in swing state Pennsylvania,"Donald Trump is on the campaign trail Saturday with a stop in eastern Pennsylvania, a swing state critical in his path toward trying to win the White House and another opportunity for the Republican presidential nominee to steady his campaign after solid debate performance undone by final-minute accusations about demeaning women","Trump, looks, past, tweet, frenzy, stop, swing, state, Pennsylvania","to, get, with, in","Trump, looks, to, get, past, tweet, frenzy, with, stop, in, swing, state, Pennsylvania","[{'neg': 0.29, 'neu': 0.71, 'pos': 0.0, 'compound': -0.5423}]",neu,"[{'neg': 0.117, 'neu': 0.741, 'pos': 0.141, 'compound': 0.34}]",neu,-0.5423,0.34
01/10/2016,Trump,Kurtz on Trump's Miss Universe dust up: 'He can't seem to let go of it',"Howard Kurtz told viewers Friday on ÒSpecial Report with Bret BaierÓ that when it comes to Donald TrumpÕs continued clashes with former Miss Universe Alicia Machado, Òhe canÕt seem to let go of it.Ó",Kurtz on Trump's Miss Universe dust up: 'He can't seem to let go of it',"Howard Kurtz told viewers Friday on ÒSpecial Report with Bret BaierÓ that when it comes to Donald TrumpÕs continued clashes with former Miss Universe Alicia Machado, Òhe canÕt seem to let go of it.Ó","Kurtz, Trump, Miss, Universe, dust, :, ', let, '","on, 's, up, He, ca, n't, seem, to, go, of, it","Kurtz, on, Trump, 's, Miss, Universe, dust, up, :, ', He, ca, n't, seem, to, let, go, of, it, '","[{'neg': 0.103, 'neu': 0.897, 'pos': 0.0, 'compound': -0.1531}]",neu,"[{'neg': 0.046, 'neu': 0.954, 'pos': 0.0, 'compound': -0.1531}]",neu,-0.1531,-0.1531
01/10/2016,Trump,Mic Dropped: Debate commission admits 'issues' with TrumpÕs audio,The Commission on Presidential Debates admitted Friday there were indeed issues with Donald TrumpÕs audio at MondayÕs debate Ð four days after the Republican nominee complained about sound issues inside the venue and was mocked for it by Hillary Clinton.,Mic Dropped: Debate commission admits 'issues' with TrumpÕs audio,The Commission on Presidential Debates admitted Friday there were indeed issues with Donald TrumpÕs audio at MondayÕs debate Ð four days after the Republican nominee complained about sound issues inside the venue and was mocked for it by Hillary Clinton,"Mic, Dropped, :, Debate, commission, admits, ', issues, ', TrumpÕs, audio",with,"Mic, Dropped, :, Debate, commission, admits, ', issues, ', with, TrumpÕs, audio","[{'neg': 0.0, 'neu': 0.784, 'pos': 0.216, 'compound': 0.296}]",neu,"[{'neg': 0.118, 'neu': 0.849, 'pos': 0.033, 'compound': -0.5574}]",neu,0.296,-0.5574
