Date,KeyWords
2016-10-01,"['debate', 'talk', 'presidential', 'plan', 'new']"
2016-10-02,"['tax', 'leaked', 'return', 'bill', 'past']"
2016-10-03,"['tax', 'taxes', 'plan', 'james', 'returns']"
2016-10-04,"['says', 'debate', 'presidential', 'pence', 'tax']"
2016-10-05,"['pence', 'debate', 'mike', 'kaine', 'g.o.p']"
2016-10-06,"['debates', 'sorry', 'hype', 'public', 'future']"
2016-10-07,"['debate', 'yorkers', 'tax', 'parties', 'lies']"
2016-10-08,"['apology', 'lewd', 'campaign', 'transcript', 'tape']"
2016-10-09,"['second', 'debate', 'women', 'abandon', 'latest']"
2016-10-10,"['debate', 'second', 'presidential', 'emails', 'jail']"
2016-10-11,"['emails', 'threat', 'jail', 'campaign', 'offense']"
2016-10-12,"['emails', 'republican', 'wikileaks', 'russian', 'u.s']"
2016-10-13,"['women', 'calls', 'michelle', 'intolerable', 'shaking']"
2016-10-14,"['working', 'g.o.p', 'obama', 'class', 'stories']"
2016-10-15,"['says', 'campaign', 'little', 'obama', 'furor']"
2016-10-16,"['campaign', 'low', 'extinction', 'fan', 'party']"
2016-10-17,"['rigged', 'claims', 'point', 'media', 'new']"
2016-10-18,"['emails', 'says', 'tells', 'obama', 'putin']"
2016-10-19,"['debate', 'melania', 'mimics', 'analysis', 'defend']"
2016-10-20,"['debate', 'accept', 'abortion', 'result', 'wikileaks']"
2016-10-21,"['al', 'smith', 'russia', 'dinner', 'democracy']"
2016-10-22,"['vastly', 'campaign', 'sue', 'different', 'foundations']"
2016-10-23,"['at&t', 'debate', 'cubs', '150', 'races']"
2016-10-24,"['wikileaks', 'democrats', 'big', 'democracy', 'texas']"
2016-10-25,"['obama', 'says', 'law', 'fear', 'g.o.p']"
2016-10-26,"['campaign', 'wikileaks', 'dinner', 'target', 'party']"
2016-10-27,"['dark', 'push', 'days', 'line', 'khizr']"
2016-10-28,"['fbi', 'abandoned', 'changes', 'money', 'hurt']"
2016-10-29,"['new', 'campaign', 'email', 'praises', 'comey']"
2016-10-30,"['email', 'emails', 'democrats', '10', 'probe']"
2016-10-31,"['f.b.i', 'emails', 'ways', 'swing', 'polls']"
2016-11-01,"['momentum', 'aim', 'redirects', 'f.b.i', 'comey']"
2016-11-02,"['obama', 'early', 'vote', 'scandal', 'firewall']"
2016-11-03,"['voters', 'presidential', 'u.s', 'melania', 'poll']"
2016-11-04,"['campaign', '2016', 'investigative', 'underscore', 'revealed']"
2016-11-05,"['rally', 'lead', 'closing', 'unclear', 'latest']"
2016-11-06,"['email', 'new', 'campaign', 'case', 'comey']"
2016-11-07,"['final', 'voters', 'campaign', 'scramble', 'end']"
2016-11-08,"['campaigns', 'media', 'wins', 'obama', 'live']"
2016-11-09,"['president', 'victory', 'speech', 'loss', 'campaign']"
2016-11-10,"['obama', 'president', 'elect', 'years', 'american']"
2016-11-11,"['obama', 'president', 'right', 'foreign', 'religious']"
2016-11-12,"['presidency', 'calamity', 'rally', 'obliteration', 'director']"
2016-11-13,"['obama', 'work', 'heads', 'divided', 'staff']"
2016-11-14,"['win', 'democrats', 'china', 'rural', 'administration']"
2016-11-15,"['—', 'women', 'vote', 'team', 'hispanic']"
2016-11-16,"['women', 'transition', 'challenge', 'handovers', 'history']"
2016-11-17,"['yellen', 'democrats', 'let', 'jeff', 'cabinet']"
2016-11-18,"['voted', 'team', 'women', 'cabinet', 'right']"
2016-11-19,"['democrats', 'need', 'f.b.i', 'facebook', 'fake']"
2016-11-20,"['elect', 'celebrate', 'president', 'nationalists', 'baldwin']"
2016-11-21,"['hand', 'kris', 'deal', 'tips', 'school']"
2016-11-22,"['new', 'pursue', 'times', 'interview', 'gun']"
2016-11-23,"['betsy', 'devos', 'education', 'rise', 'seek']"
2016-11-24,"['york', 'trees', 'change', 'cites', 'supporters']"
2016-11-25,"['1', 'nov', '25-dec', 'romney', 'won']"
2016-11-26,"['conflicts', 'recount', 'vote', 'u.s', 'senate']"
2016-11-27,"['castro', 'briefing', 'recount', 'monday', 'fidel']"
2016-11-28,"['recount', 'claim', 'amid', 'ballots', 'meets']"
2016-11-29,"['recount', 'support', 'vote', 'push', 'advances']"
2016-11-30,"['mnuchin', 'steven', 'ross', 'mr', 'north']"
