Date,KeyWords
2016-10-01,"['debate', 'voters', 'new', 'plan', 'ads']"
2016-10-02,"['bill', 'accuser', 'reveals', 'loyal', 'machado']"
2016-10-03,"['tax', 'plan', 'accusers', 'presidential', 'kaine']"
2016-10-04,"['assange', 'image', 'body', 'question', 'party']"
2016-10-05,"['debate', 'pence', 'vice', 'presidential', 'mike']"
2016-10-06,"['fbi', 'debates', 'johnson', 'gary', 'syria']"
2016-10-07,"['debate', 'email', 'affair', 'second', 'predictions']"
2016-10-08,"['campaign', 'debate', 'advice', 'second', 'offer']"
2016-10-09,"['debate', 'speeches', 'second', 'abandon', 'sexism']"
2016-10-10,"['debate', 'emails', 'second', 'going', 'presidential']"
2016-10-11,"['emails', 'aides', 'jail', 'campaign', 'threat']"
2016-10-12,"['wikileaks', 'emails', 'russian', 'answering', 'spies']"
2016-10-13,"['wikileaks', 'calls', 'alex', 'slipping', 'night']"
2016-10-14,"['working', 'obama', 'class', 'questions', 'guiding']"
2016-10-15,"['wikileaks', 'campaign', 'obama', 'podesta', 'assange']"
2016-10-16,"['campaign', 'hacked', 'foundation', 'email', 'africa']"
2016-10-17,"['covert', 'tech', 'accuses', 'media', 'message']"
2016-10-18,"['emails', 'sanders', 'wikileaks', 'bernie', 'republican']"
2016-10-19,"['debate', 'presidential', 'melania', 'new', 'wikileaks']"
2016-10-20,"['debate', 'wikileaks', 'email', 'abortion', 'statements']"
2016-10-21,"['wikileaks', 'debate', 'russia', 'accelerated', 'september']"
2016-10-22,"['campaign', 'suspicious', 'outside', 'philippines', 'powder']"
2016-10-23,"['at&t', 'warner', 'cubs', 'time', 'aboard']"
2016-10-24,"['democrats', 'wikileaks', 'warren', 'adviser', 'maybe']"
2016-10-25,"['obama', 'law', 'poll', 'emails', 'shows']"
2016-10-26,"['year', 'wikileaks', 'campaign', 'party', 'dinner']"
2016-10-27,"['michelle', 'obama', 'campaign', 'dark', 'rally']"
2016-10-28,"['road', 'anthony', 'weiner', 'emails', 'campaign']"
2016-10-29,"['email', 'new', 'comey', 'fbi', 'records']"
2016-10-30,"['probe', 'democrats', 'email', 'emails', 'fbi']"
2016-10-31,"['ways', 'emails', 'promoting', 'message', 'misconduct']"
2016-11-01,"['comey', 'james', 'aim', 'reporters', 'presidential']"
2016-11-02,"['early', 'scandal', 'obama', 'pattern', 'sleeping']"
2016-11-03,"['voters', 'presidential', 'act', 'questions', 'melania']"
2016-11-04,"['campaign', 'battle', 'presidency', 'learned', 'like']"
2016-11-05,"['surge', 'political', 'beyoncé', 'closing', 'lead']"
2016-11-06,"['new', 'campaign', 'case', 'f.b.i', 'comey']"
2016-11-07,"['final', 'day', 'accused', 'obama', 'old']"
2016-11-08,"['campaigns', 'obama', 'campaign', 'feeling', 'results']"
2016-11-09,"['loss', 'campaign', 'speech', 'concession', 'president']"
2016-11-10,"['democrats', 'american', 'right', 'leadership', 'lean']"
2016-11-11,"['obama', 'reflect', 'path', 'plouffe', 'popular']"
2016-11-12,"['director', 'blames', 'affair', 'loss', 'love']"
2016-11-13,"['obama', 'blames', 'abortion', 'rep', 'miss']"
2016-11-14,"['democrats', 'agree', 'talk', 'pulling', 'putin']"
2016-11-15,"['women', 'hispanic', 'accepts', 'protect', 'myth']"
2016-11-16,"['women', 'california', 'glass', 'ally', 'rocky']"
2016-11-17,"['democrats', 'pro', 'agency', 'real', 'majority']"
2016-11-18,"['voted', 'women', 'way', 'pick', 'ones']"
2016-11-19,"['democrats', 'obama', 'news', 'facebook', 'fake']"
2016-11-20,"['bias', 'celebrate', 'nyt', 'public', 'president']"
2016-11-21,"['anti', 'regret', 'motorist', 'neighborhood', 'nuclear']"
2016-11-22,"['interview', 'new', 'news', 'pizzeria', 'fake']"
2016-11-23,"['wing', 'seek', 'retreat', 'obligation', 'oversight']"
2016-11-24,"['listings', 'supporters', 'recount', 'accusations', 'russia']"
2016-11-25,"['listings', 'best', 'news', 'populism', 'problem']"
2016-11-26,"['recount', 'stein', 'democrats', 'senate', 'effort']"
2016-11-27,"['recount', 'fidel', 'castro', 'joining', 'monday']"
2016-11-28,"['recount', 'calls', 'claim', 'lines', 'meets']"
2016-11-29,"['recount', 'push', 'advances', 'bronx', 'petraeus']"
2016-11-30,"['steven', 'mnuchin', 'affairs', 'race', 'north']"
