Date,Headline
2016-10-01,Donald Trump Opens New Line of Attack on Hillary Clinton: Her Marriage
2016-10-01,Hillary Clinton and Democrats Raised $154 Million in September
2016-10-01,New Hillary Clinton Ads Look to Expand Lead With Hispanic Voters
2016-10-01,How Could Anyone Vote for Trump?
2016-10-01,Donald Trump Is Seen as Helping Push Asian-Americans Into Democratic Arms
2016-10-01,Donald Trump’s Pathetic Fraternity
2016-10-01,On the Trail: Week of Sept. 25
2016-10-01,Trump and the Intellectuals
2016-10-01,The Monster Sorority of Women Voters
2016-10-02,‘S.N.L.’ Begins a New Season With Alec Baldwin as Donald Trump
2016-10-02,"Donald Trump, Hillary Clinton, Hoboken: Your Weekend Briefing"
2016-10-03,Trump’s Fellow Travelers
2016-10-03,"How Hillary Clinton Grappled With Bill Clinton’s Infidelity, and His Accusers"
2016-10-03,Tim Kaine and Mike Pence Prepare for Vice-Presidential Proxy Fight
2016-10-03,Ailing Obama Health Care Act May Have to Change to Survive
2016-10-03,"Donald Trump, Aleppo, FARC: Your Monday Evening Briefing"
2016-10-03,"Donald Trump, FARC, Ryder Cup: Your Monday Briefing"
2016-10-03,Civil Conversation Challenge for Teenagers | Issue 1: Immigration
2016-10-03,"In Upstate Congressional Race, a ‘Classic Boxers’ Match’ That Is Virtually Tied"
2016-10-03,Mitch McConnell and Paul Ryan Are of Two Minds About Divided Government
2016-10-03,Florida’s Changing Latino Population Veers From G.O.P.
2016-10-04,"Better Polling for Clinton, but Trump Is Keeping Core Support"
2016-10-04,A Look at Clinton’s Marriage Woes Raises a Question: Really?
2016-10-04,"The Trump Dialogues, From a Parody Universe"
2016-10-04,Hillary Clinton’s Lonesome White Male Supporters
2016-10-04,Third-Party Voters Know What They Want
2016-10-04,"With Tim Kaine and Mike Pence, Faith Is Back in the Mix"
2016-10-04,Trump as ‘Role Model’? Kelly Ayotte Says She Misspoke
2016-10-04,"Julian Assange, WikiLeaks Founder, Promises Raft of Revelations"
2016-10-04,Senator Kaine and Gov. Pence: Face-Off in Farmville!
2016-10-04,"Speak Up, Mr. Vice Presidential Candidate. We Can Barely Hear You."
2016-10-05,"In Visceral Ads for Hillary Clinton, Donald Trump Does All the Talking"
2016-10-05,Donald Trump as Role Model? G.O.P. Senator ‘Absolutely’ Has Second Thoughts
2016-10-05,A Trumpism of the Left
2016-10-05,"Hashtags, Polls and Putin: Aftermath of the Vice-Presidential Debate"
2016-10-05,The Editorialists Have Spoken; Will Voters Listen?
2016-10-05,Fact Checks of the Vice-Presidential Debate
2016-10-05,Donald Trump’s Slip in Polls Has G.O.P. Worried About Congress
2016-10-05,"When You Hear the Margin of Error Is Plus or Minus 3 Percent, Think 7 Instead"
2016-10-05,Questions for: ‘Tim Kaine and Mike Pence Clash Sharply Over Their Running Mates’
2016-10-05,Mike Pence’s Fantasy Running Mate
2016-10-06,Pro-Trump Group to Release Ads as Part of Major Swing State Effort
