Candidate,Date,Headline,Snippet,Headline_Cleaned,Snippet_Cleaned,Headline_Keywords,Headline_Stopwords,Headline_Tokens,Snippet_Keywords,Snippet_Stopwords,Snippet_Tokens,Sentiment_Values,Sentiment,Snippet_Sentiment_Values,Snippet_Sentiment,Headline_polarity,Snippet_polarity
trump,2016-10-01,Trump and the Intellectuals,A case for Trump’s ideas that ignores the man himself.,Trump and the Intellectuals,A case for Trump’s ideas that ignores the man himself,"Trump, Intellectuals","and, the","Trump, and, the, Intellectuals","case, Trump, ideas, ignores, man","A, for, ’s, that, the, himself","A, case, for, Trump, ’s, ideas, that, ignores, the, man, himself","[{'neg': 0.0, 'neu': 0.536, 'pos': 0.464, 'compound': 0.3818}]",neu,"[{'neg': 0.208, 'neu': 0.792, 'pos': 0.0, 'compound': -0.2732}]",neu,0.3818,-0.2732
trump,2016-10-01,The Other Trump,"Unlike her prominent half siblings, Tiffany Trump has rarely been seen on the presidential campaign trail in 2016. But that may be about to change.",The Other Trump,"Unlike her prominent half siblings, Tiffany Trump has rarely been seen on the presidential campaign trail in 2016 But that may be about to change",Trump,"The, Other","The, Other, Trump","Unlike, prominent, half, siblings, ,, Tiffany, Trump, rarely, seen, presidential, campaign, trail, 2016, change","her, has, been, on, the, in, But, that, may, be, about, to","Unlike, her, prominent, half, siblings, ,, Tiffany, Trump, has, rarely, been, seen, on, the, presidential, campaign, trail, in, 2016, But, that, may, be, about, to, change","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 0.913, 'pos': 0.087, 'compound': 0.3182}]",neu,0.0,0.3182
trump,2016-10-01,Donald Trump’s Pathetic Fraternity,Chris Christie and Rudy Giuliani once had pride. Now they have an orange overlord.,Donald Trump’s Pathetic Fraternity,Chris Christie and Rudy Giuliani once had pride Now they have an orange overlord,"Donald, Trump, Pathetic, Fraternity",’s,"Donald, Trump, ’s, Pathetic, Fraternity","Chris, Christie, Rudy, Giuliani, pride, orange, overlord","and, once, had, Now, they, have, an","Chris, Christie, and, Rudy, Giuliani, once, had, pride, Now, they, have, an, orange, overlord","[{'neg': 0.552, 'neu': 0.448, 'pos': 0.0, 'compound': -0.5719}]",neg,"[{'neg': 0.0, 'neu': 0.844, 'pos': 0.156, 'compound': 0.34}]",neu,-0.5719,0.34
trump,2016-10-01,Trump Infrastructure Plan’s Fatal Flaw,"The Republican nominee has proposed, in effect, to cut spending on infrastructure as part of his plan to borrow for spending on infrastructure.",Trump Infrastructure Plan’s Fatal Flaw,"The Republican nominee has proposed, in effect, to cut spending on infrastructure as part of his plan to borrow for spending on infrastructure","Trump, Infrastructure, Plan, Fatal, Flaw",’s,"Trump, Infrastructure, Plan, ’s, Fatal, Flaw","Republican, nominee, proposed, ,, effect, ,, cut, spending, infrastructure, plan, borrow, spending, infrastructure","The, has, in, to, on, as, part, of, his, to, for, on","The, Republican, nominee, has, proposed, ,, in, effect, ,, to, cut, spending, on, infrastructure, as, part, of, his, plan, to, borrow, for, spending, on, infrastructure","[{'neg': 0.467, 'neu': 0.533, 'pos': 0.0, 'compound': -0.5423}]",neu,"[{'neg': 0.087, 'neu': 0.913, 'pos': 0.0, 'compound': -0.2732}]",neu,-0.5423,-0.2732
trump,2016-10-01,How Could Anyone Vote for Trump?,It’s time for Republican leaders to exercise a little leadership.,How Could Anyone Vote for Trump?,It’s time for Republican leaders to exercise a little leadership,"Vote, Trump, ?","How, Could, Anyone, for","How, Could, Anyone, Vote, for, Trump, ?","time, Republican, leaders, exercise, little, leadership","It, ’s, for, to, a","It, ’s, time, for, Republican, leaders, to, exercise, a, little, leadership","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,0.0,0.0
trump,2016-10-01,Donald Trump Opens New Line of Attack on Hillary Clinton: Her Marriage,"In an interview, Mr. Trump said he was reconsidering whether he would back Mrs. Clinton if she became president.",Donald Trump Opens New Line of Attack on Hillary Clinton: Her Marriage,"In an interview, Mr Trump said he was reconsidering whether he would back Mrs Clinton if she became president","Donald, Trump, Opens, New, Line, Attack, Hillary, Clinton, :, Marriage","of, on, Her","Donald, Trump, Opens, New, Line, of, Attack, on, Hillary, Clinton, :, Her, Marriage","interview, ,, Mr, Trump, said, reconsidering, Mrs, Clinton, president","In, an, he, was, whether, he, would, back, if, she, became","In, an, interview, ,, Mr, Trump, said, he, was, reconsidering, whether, he, would, back, Mrs, Clinton, if, she, became, president","[{'neg': 0.22, 'neu': 0.78, 'pos': 0.0, 'compound': -0.4767}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,-0.4767,0.0
trump,2016-10-01,Report That Donald Trump Did Business in Cuba Ups the Ante in Florida,Revelations that Mr. Trump may have violated the ban on American companies operating in Cuba come as the presidential race is heating up in the state.,Report That Donald Trump Did Business in Cuba Ups the Ante in Florida,Revelations that Mr Trump may have violated the ban on American companies operating in Cuba come as the presidential race is heating up in the state,"Report, Donald, Trump, Business, Cuba, Ups, Ante, Florida","That, Did, in, the, in","Report, That, Donald, Trump, Did, Business, in, Cuba, Ups, the, Ante, in, Florida","Revelations, Mr, Trump, violated, ban, American, companies, operating, Cuba, come, presidential, race, heating, state","that, may, have, the, on, in, as, the, is, up, in, the","Revelations, that, Mr, Trump, may, have, violated, the, ban, on, American, companies, operating, in, Cuba, come, as, the, presidential, race, is, heating, up, in, the, state","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.226, 'neu': 0.774, 'pos': 0.0, 'compound': -0.7906}]",neu,0.0,-0.7906
trump,2016-10-01,"After Trump-Clinton, Vice-Presidential Debate Isn’t Exactly ‘the Return of Elvis’","Donald J. Trump and Hillary Clinton drew a record television audience for their first debate. By comparison, their running mates, Mike Pence and Tim Kaine, may be heavier on policy than on pizazz.","After Trump-Clinton, Vice-Presidential Debate Isn’t Exactly ‘the Return of Elvis’","Donald J Trump and Hillary Clinton drew a record television audience for their first debate By comparison, their running mates, Mike Pence and Tim Kaine, may be heavier on policy than on pizazz","Trump, -, Clinton, ,, Vice, -, Presidential, Debate, Exactly, ‘, Return, Elvis, ’","After, Is, n’t, the, of","After, Trump, -, Clinton, ,, Vice, -, Presidential, Debate, Is, n’t, Exactly, ‘, the, Return, of, Elvis, ’","Donald, J, Trump, Hillary, Clinton, drew, record, television, audience, debate, comparison, ,, running, mates, ,, Mike, Pence, Tim, Kaine, ,, heavier, policy, pizazz","and, a, for, their, first, By, their, and, may, be, on, than, on","Donald, J, Trump, and, Hillary, Clinton, drew, a, record, television, audience, for, their, first, debate, By, comparison, ,, their, running, mates, ,, Mike, Pence, and, Tim, Kaine, ,, may, be, heavier, on, policy, than, on, pizazz","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,0.0,0.0
trump,2016-10-01,Donald Trump Is Seen as Helping Push Asian-Americans Into Democratic Arms,"Asian-Americans are identifying as Democrats at a quicker pace than any other racial group, and many Republicans worry this election is accelerating that trend.",Donald Trump Is Seen as Helping Push Asian-Americans Into Democratic Arms,"Asian-Americans are identifying as Democrats at a quicker pace than any other racial group, and many Republicans worry this election is accelerating that trend","Donald, Trump, Seen, Helping, Push, Asian, -, Americans, Democratic, Arms","Is, as, Into","Donald, Trump, Is, Seen, as, Helping, Push, Asian, -, Americans, Into, Democratic, Arms","Asian, -, Americans, identifying, Democrats, quicker, pace, racial, group, ,, Republicans, worry, election, accelerating, trend","are, as, at, a, than, any, other, and, many, this, is, that","Asian, -, Americans, are, identifying, as, Democrats, at, a, quicker, pace, than, any, other, racial, group, ,, and, many, Republicans, worry, this, election, is, accelerating, that, trend","[{'neg': 0.0, 'neu': 0.82, 'pos': 0.18, 'compound': 0.296}]",neu,"[{'neg': 0.116, 'neu': 0.884, 'pos': 0.0, 'compound': -0.4404}]",neu,0.296,-0.4404
trump,2016-10-01,Girl Talk at Trump Tower,"Stay tuned for “Really Desperate Housewives of Trumpworld,” featuring Newt Gingrich, Chris Christie, Roger Ailes and Rudy Giuliani.",Girl Talk at Trump Tower,"Stay tuned for “Really Desperate Housewives of Trumpworld,” featuring Newt Gingrich, Chris Christie, Roger Ailes and Rudy Giuliani","Girl, Talk, Trump, Tower",at,"Girl, Talk, at, Trump, Tower","Stay, tuned, “, Desperate, Housewives, Trumpworld, ,, ”, featuring, Newt, Gingrich, ,, Chris, Christie, ,, Roger, Ailes, Rudy, Giuliani","for, Really, of, and","Stay, tuned, for, “, Really, Desperate, Housewives, of, Trumpworld, ,, ”, featuring, Newt, Gingrich, ,, Chris, Christie, ,, Roger, Ailes, and, Rudy, Giuliani","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.119, 'neu': 0.881, 'pos': 0.0, 'compound': -0.3182}]",neu,0.0,-0.3182
